Company,Mission
Visteon Corporation,"To increase shareholder value by delivering systems solutions that help our customers exceed their goals, are safe and environmentally responsible, and distinguish Visteon as the supplier, employer and community citizen of choice."
"Oceaneering International, Inc.","To increase the net wealth of its shareholders by providing safe, cost-effective, and quality technical solutions satisfying customer needs worldwide."
ANN INC.,to inspire and connect with our clients to put their best selves forward every day’. .
Starbucks Corporation,"To inspire and nurture the human spirit one person, one cup and one neighbourhood at a time."
Saks Incorporated,To inspire customer confidence and style with every Saks shopping experience.
"Brown Shoe Company, Inc.",To Inspire People to Feel Good and Live Better Feel First.
Momentive Performance Materials Inc.,To leverage the resources and expertise of one of the world's leading specialty chemical companies. To bring better products and systems to life. To improve the quality of life for people around the globe.
Rock-Tenn Company,"To low-cost, high-value paperboard, packaging and marketing solutions to a wide range of markets. We commit every day to exceeding customer expectations, creating long-term shareholder value and encouraging and rewarding employee excellence."
PharMerica Corporation,"To lower our customers prescription cost while at the same time, improving the quality of patient care."
AMR Corporation,To make a difference by caring for people in need.
"MSC Industrial Direct Co., Inc.","To make a positive contribution to the communities we live and work in by promoting MSC's unique culture of teamwork, delivering positive results, sharing and diversity; contributing to MSC's overall mission to be the best Industrial Distributor as measured by our associates, customers, owners and suppliers."
"StanCorp Financial Group, Inc.","To make a positive difference in communities by supporting community development, education, disability and health organizations."
"Under Armour, Inc.","To Make All Athletes Better Through Passion, Design And The Relentless Pursuit Of Innovation."
Stryker Corporation,"To make difference by caring for the caregivers, helping them maintain order in their organizations, and restore health to their patients."
"MEMC Electronic Materials, Inc.",To make solar services a viable and rewarding alternative to traditional energy sources.
BB&T Corporation,"To make the world a better place to live by: Helping our Clients achieve economic success and financialsecurity.  Creating a place where our Employees can learn. grow and be fulfilled in their work .  Making the Communities in which we work better places to be.  Thereby: Optimizing the long-term return to our Shareholders, while providing a safe and sound investment."
Terex Corporation,To manufacture and market high quality capital equipment designed to improve our customers' return on invested capital and/or in-use productivity.
Commercial Metals Company,"To manufacture, recycle, and market steel, other metals and related products and to meet our customers' needs."
Sysco Corporation,To market and deliver great products to our customers with exceptional service.
"Waste Management, Inc.","To maximize resource value, while minimizing and even eliminating - environmental impact so that both our economy and our environment can thrive."
"The Men's Wearhouse, Inc.","To maximize sales, provide value to our customers, and deliver top-quality customer service while still having fun and maintaining our values."
Hess Corporation,To maximize shareholder value by enhancing financial performance and providing long-term profitable growth. 
Cintas Corporation,To maximize the long-term value of Cintas for its shareholders and working partners by exceeding our customers' expectations.
Equifax Inc.,To maximize the value of our shareholders' investment in the Company.
Mead Johnson Nutrition Company,To nourish the world’s children for the best start in life.
"Aeropostale, Inc.",To optimize profitability by offering brand relevant product at compelling values. 
"Starwood Hotels & Resorts Worldwide, Inc.","To our Customers, we want Starwood to be the easiest company with which to do business; And to our Employees, our commitment is to make Starwood a great place to work."
Hanesbrands Inc.,"To profitably grow our leading brands by intimately understanding our consumers, out-executing our competition and leveraging our sustainable competitive advantage."
"Kindred Healthcare, Inc.","To promote healing, provide hope, preserve dignity and produce value for each patient, resident, family member, customer, employee and shareholder we serve."
NYSE Euronext,"To promote NYSE Euronext and its products and services with professional investors. Our aim is to develop and maintain contacts with them, offering seamless access to relevant information and getting market feedback."
Triple-S Management Corporation,"To promote the success of our group of companies through leadership, planning, organization and management in order to achieve the well-being of our shareholders and other constituents."
"Equinix, Inc.","To protect, connect and power the digital economy."
eBay Inc.,To provide a global trading platform where practically anyone can trade practically anything.
Hyatt Hotels Corporation,To provide authentic hospitality by making a difference in the lives of the people we touch every day.
Centene Corporation,To provide better health outcomes at lower costs.
Colgate-Palmolive Company,"To provide company with a significant competitive advantage by reducing total delivered cost, extending technology resources and developing excellence in purchasing, logistics and sourcing processes."
Anixter International Inc.,To provide customized solutions that meet our customers' diverse needs.
"ScanSource, Inc.","To provide employees with an opportunity to donate their time, money and resources to improve the communities where we live and work with a focus on children, education and community wellness."
"NV Energy, Inc.","To provide energy, products and services that enable our customers to manage their energy needs while delivering industry-leading returns to our investors."
SCANA Corporation,To provide energy-related products to retail markets in the Southeast.
"The McGraw-Hill Companies, Inc.","To provide essential information and insight that help individuals, markets and societies perform to their potential."
CME Group Inc.,"To provide excellent services through high quality marine services, training programs, marine engineering and total logistics that contribute to our clients success and high performance."
Pool Corporation,"To provide exceptional value to our customers and suppliers, creating exceptional return for our shareholders while providing exceptional opportunities for our employees. "
New York Life Insurance Company,"To provide financial security and peace of mind through our insurance, annuity and investment products and services."
W.R. Berkley Corporation,To provide financial security and peace of mind through the transfer of unforeseen and potentially significant property and casualty losses and legal loss expenses.
Loews Corporation,To provide guests with the best possible out-ofhome entertainment experience  directly impacts everything the company does.
AAR Corp.,To provide health care solutions that makes a difference to life.
"Old Dominion Freight Line, Inc.","To provide innovative solutions designed to exceed customer expectations, increase shareholder value, and ensure the continued success of the OD company and our family of employees."
"Merck & Co., Inc.","To provide innovative, distinctive products and services that save and improve lives and satisfy customer needs, to be recognized as a great place to work, and to provide investors with a superior rate of return. "
"Martin Marietta Materials, Inc.","To provide leadership, direction, and support in achieving a safe and healthy work environment which will serve as a role model for other industries to follow."
Freddie Mac,"To provide liquidity, stability and affordability to the U.S. housing market. Our participation in the secondary mortgage market includes. Providing our credit guarantee for residential mortgages originated by mortgage lenders.Investing in mortgage loans and mortgage securities ."
SEACOR Holdings Inc.,To provide operational quality for our customers while at all times maintaining an unyeilding commitment to safety and the protection of the environment.
"American Water Works Company, Inc.",To provide opportunities and open business doors to diverse suppliers who otherwise would not have been knowledgeable of contract opportunities with California American Water. 
Morgan Stanley,"To provide our clients with the finest financial thinking, products and execution. This means setting the highest standards for behaviors that embody our business principles:  Lead with integrity, Put clients first , Win in the marketplace ,Think like an owner ,Keep your balance . "
"CarMax, Inc.",To provide our customers great quality cars at great prices with exceptional customer service.
Erie Insurance Group,"To provide our policyholders with as near perfect protection, as near perfect service as is humanly possible and to do so at the lowest possible cost."
"Telephone and Data Systems, Inc.","To provide outstanding communications services to our customers and meet the needs of our shareholders, our people and our communities."
"Chiquita Brands International, Inc.",To Provide products and services are designed to win the hearts and smiles of the world's consumers by helping them enjoy healthy fresh foods.
General Motors Company,To provide products and services of such quality that our customers will receive superior value while our employees and business partners will share in our success and our stock-holders will receive a sustained superior return on their investment.
Hewlett-Packard Company,"To provide products, services and solutions of the highest quality and deliver more value to our customers that earns their respect and loyalty."
"Molina Healthcare, Inc.",To provide quality health services to financially vulnerable families and individuals covered by government programs.
Old Republic International Corporation,"To provide quality insurance security and related services to businesses, individual and public institution and be a dependaple long termsteward of the trust our policy holders and shareholders place in US."
Westlake Chemical Corporation,"To provide quality products and services to the commodity chemical, plastics and related building products markets."
DISH Network Corporation,To provide quality products through a world class sales organization to every home in America. 
"MEDNAX, Inc.","To provide quality, cost-effective care to all of our patients through a team approach to health care delivery and management and a total commitment to honesty, quality, professionalism, and the highest level of moral and ethical responsiveness to our patients, partners, shareholders, and the community at large."
Atmos Energy Corporation,"To provide safe, dependable natural gas and other services to existing and future customers at the lowest possible cost, utilizing competent and fairly treated employees, while earning a fair rate of return on the Company’s investment."
"Universal Health Services, Inc.","To provide superior healthcare services that: Patients recommend to families and friends, physicians prefer for their patients, purchasers select for their clients, employees are proud of, and investors seek for long-term results. "
Auto-Owners Insurance Group,To provide the best claim service in the industry.
ON Semiconductor Corporation,To provide the highest value relationships to our suppliers worldwide.
Dresser-Rand Group Inc.,"To provide the most reliable and efficient rotating equipment technology and service solutions and lead in safety, environmental stewardship, quality, and cycle time."
Global Payments Inc.,To provide the most trusted payment service in the world through strong partnerships and a generous commitment to our customers and our people. 
"Kinder Morgan, Inc.","To provide them with opportunities to learn and grow. Our goal is to help today's science, math and music students become the engineers, educators and musicians who will support our diverse communities for many years to come. To accomplish this goal, we fund programs that promote the academic and artistic interests of young people in the many cities and towns across North America where Kinder Morgan operates."
"Charter Communications, Inc.","To provide value to its customers by offering high quality communication services, continually improving customer care, and unwavering commitment of its employees."
"NVR, Inc.","To provides various support functions for each of its sub-entities. These include essential managerial structures, vital human resource specialists, and an advanced information technology department, which all intertwine to provide a network of resources utilized by NVR, inc. holdings. "
"Yum! Brands, Inc.","To put a Yum! on people's faces around the world, satisfying customers every time they eat our food and doing it better than any other restaurant company."
"HCA Holdings, Inc.","To put patients first and works to constantly improve the care we give them by implementing measures that support our caregivers, help ensure patient safety and provide the highest possible quality. Investing in our communities is important to us. "
"Steel Dynamics, Inc.","To re-define service through superior Technology, Cost and Culture."
"Dr Pepper Snapple Group, Inc.","To reflects and builds upon our position as the leading flavored beverage business in the U.S. Accordingly, we focus on ->  Building and enhancing our leading brands Pursuing profitable channels, packages and categories Leveraging our integrated business models Strengthening our route to market Improving operating efficiency."
"Expedia, Inc.",To Revolutionize Travel Through the Power of Technology.
"KBR, Inc.","To safely deliver any project, any time, in any environment for the benefit of our customers, shareholders, employees and the communities we serve."
"Walter Energy, Inc.","To safely, efficiently and responsibly provide metallurgical coal products to global industry."
Monster Beverage Corporation,"To satisfy consumers' needs for superior quality and great tasting, healthy, natural and functional beverages. "
"Belk, Inc.","To satisfy the modern Southern lifestyle like no one else, so that our customers get the fashion they desire and the value they deserve."
"PC Connection, Inc.","To serve businesses with trusted guidance, exceptional service, and innovative products throughout the IT lifecycle. "
H.B. Fuller Company,"To serve its customers as a leading worldwide formulator, manufacturer and marketer of technology-driven specialty chemicals and other products related to its area of expertise.H.B. Fuller is committed to the balanced interests of its customers, employees."
"Mueller Industries, Inc.",To serve our customers by partnering with them to provide high-quality engineered products and services.
"Kelly Services, Inc.","To serve our customers, employees, shareholders and society by providing a broad range of staffing services and products."
"Expeditors International of Washington, Inc.","To set the standard for excellence in global logistics through total commitment to quality in people and customer service, with superior financial results."
AOL Inc.,To simplify the internet for consumers and creators by unleashing the world’s best builders of culture and code.
"VeriFone Systems, Inc.","To stay ahead of the world's ever-changing payment industry by promoting an internal culture of expertise, innovation, service and drive."
USEC Inc.,To supply enriched uranium and nuclear industry related services in a safe and environmentally responsible manner.
"Dole Food Company, Inc.","To supplying the consumer and our customers with the finest, high-quality products and to leading the industry in nutrition research and education."
"Heartland Payment Systems, Inc.",To support local business and we continue to help business owners across the country with their payment and payroll processing.
Levi Strauss & Co.,To sustain responsible commercial success as a global marketing company of branded apparel.
TravelCenters of America LLC,To take care of all highway travelers in the finest full-service facilities on the road.
"The Pep Boys - Manny, Moe & Jack",To take care of people and their cars. Putting customers first puts us in first place. 
"Coca-Cola Enterprises, Inc.",To unite the passion of our people and the power of our brands to generate sustainable and profitable growth and improve financial returns by focusing our assets and alliances on innovation and customer relationships.
Archer-Daniels-Midland Company,To unlock the potential of nature to improve the quality of life.
Tractor Supply Company,"To work hard, have fun and make money by providing legendary service and great products at everyday low prices."
Campbell Soup Company,"Together we will build the world’s most extraordinary food company by nourishing people’s lives everywhere, every day."
"Titan International, Inc.",Train our field personnel to provide a professional and efficient service to all clients. Establish a high level of internal organisation so as to maintain our commitments to our customers in terms of product availability and project deadlines.Market products which offer excellent reliability and value for money.Ensure maximum exposure of our products and services through a variety of distribution channels.Improve our supplier relationships for our mutual benefit. Ensure the highest standards of health and safety in our operations and the products and services we supply.Establish environmentally friendly work procedures and methods as well as the supply of such products.
"The Travelers Companies, Inc.","Travelers offers a wide variety of property and casualty insurance and surety products and services to businesses, organizations and individuals in the United States and in selected international markets. In addition, the company can meet insurance needs in more than 90 countries worldwide through our network of insurers. Products are distributed primarily through independent insurance agents and brokers. Our success is built upon our ability to provide innovative insurance and risk protection products and services in-synch with our customers' needs."
"Owens-Illinois, Inc.","ur mission is to design, manufacture, and deliver products and services that meet the unique needs and expectations of each customer. To that end, we have successfully built a solid foundation and infrastructure for glass container manufacturing."
Wells Fargo & Company,Ur product: SERVICE. Our value-added: FINANCIAL ADVICE. Our competitive advantage: OUR PEOPLE
URS Corporation,"URS is one of the largest, global, fully integrated engineering, construction and technical services firms. Operating through three divisions URS Division, EG&G Division and Washington Division we provide life-cycle services for transportation, power, industrial infrastructure and process, environmental and nuclear management, facilities, water/wastewater, mining, and defense and security programs."
ConocoPhillips,Use our pioneering spirit to responsibly deliver energy to the world.
Verizon Communications Inc.,"Verizon's mission is to enable people and businesses to communicate with each other. We are also committed to providing full and open communication with our customers, employees and investors."
"Sonic Automotive, Inc.",We  pledge to make Sonic automotive the best place to work and in turn the best place to our customerto shop.
Whirlpool Corporation,"We all, are passionately creating loyal consumers for the rest of our lives."
The Clorox Company,"We also strive to make everyday life better in the world where we do business by giving back to our communities. Whether it's contributing to disaster relief efforts through donations of Clorox® regular bleach, teaching classes at local schools or funding education, arts and culture programs, Clorox is committed to help restore, enrich and protect our communities."
Meritor Inc.,"We anticipate our customers’ needs by developing innovative products that provide superior performance, energy efficiency and reliability.   We provide a leading portfolio of differentiated services supporting our customers’ products throughout their lifecycle.   We distinguish ourselves through our ability to consistently deliver on our commitments while maximizing value for our shareholders, customers, and employees."
"Motorola Solutions, Inc.","We are a global communications leader powered by a passion to invent and an unceasing commitment to advance the way the world connects. Our communication solutions allow people, businesses and governments to be more connected and more mobile."
Ford Motor Company,We are a global family with a proud heritage passionately committed to providing personal mobility for people around the world. We anticipate consumer need and deliver outstanding products and services that improve people's lives.
Cerner Corporation,We are a global health company contributing to the systemic improvement of health care delivery and the health of communities.
"CH2M HILL Companies, Ltd.","We are a global project delivery company, helping our clients build a better and more sustainable world."
"Team Health Holdings, Inc.","We are a healthcare organization committed to quality, efficiency, and exceptional patient care."
"Hub Group, Inc.","We are a leading, world-class transportation provider that listens to its customers, develops innovative solutions and delivers unparalleled value. Our mission is to provide world-class solutions that consistently exceed Customer expectations."
"Land O'Lakes, Inc.","We are a market- and customer-driven cooperative committed to optimizing the value of our members' dairy, crop and livestock production."
Nash-Finch Company,"We are a performance driven culture that uses metrics to ensure continuous improvement. Through our distribution and marketing competencies, we provide creative, customized solutions for our customers. As a result, we achieve superior profit growth as the grocery distribution company of choice. "
Aramark Corporation,"We are a professional services organization dedicated to excellence.We develop and sustain our leadership position by engaging and supporting our most valuable and differentiated asset; the competence, commitment and creativity of our people.We provide world-class experiences, environments and outcomes for our clients and customers by developing relationships based on service excellence, partnership and mutual understanding.We enable our clients to realize their core mission, and we will anticipate the needs and exceed the expectations of customers, by dedicating our skills in professional services - hospitality, food, facilities and uniforms - to the goals and priorities of their institution.We create long-term value and capture the greatest opportunity for all ARAMARK stakeholders - our people, clients, customers, communities and shareholders - by delivering sustainable, profitable growth in sales, earnings and cash flow in a global company built on pride, integrity and respect."
Viacom Inc.,We are among the world’s leading creators of programming and content across all media platforms. We work to deliver growth and superior returns to our stockholders and bring our global audiences the entertainment they want where they want it.
Electronic Arts Inc.,We are an association of electronic artists who share a common goal. We want to fulfill the potential of personal computing.
TMS International Corp.,"We are committed to ourselves by practicing safe behavior and creating an environment of integrity, initiative and growth.We will have the best maintained equipment.We are committed to creating value for our customers through a partnership of service and innovation.We will provide a return for our investors."
"Willbros Group, Inc.","We are committed to strong leadership across our organization to achieve excellence, accountability and compliance in everything we do based on our core values."
"PerkinElmer, Inc.","We are committed to transforming risk into safety, mystery into knowledge and ideas into action for a healthier today and a better tomorrow. "
The Boeing Company,"We are constantly re-examining our capabilities and processes to ensure that our company is as strong and vital as our heritage. In fact, our culture mirrors the heritage of aviation itself, built on a foundation of innovation, aspiration and imagination."
"Marsh & McLennan Companies, Inc.","we are dedicated to managing risk, maximizing growth, and creating value for our clients and share- holders. With colleagues in more than 100 countries, we help clients identify, plan for and respond to critical business issues and risks."
"Tyson Foods, Inc.","We are dedicated to producing and marketing trusted quality food products that fit today’s changing lifestyles and to attracting, rewarding and retaining the best people in the food industry."
Edwards Lifesciences Corporation,We are dedicated to providing innovative solutions for the people fighting cardiovascular disease.
Iasis Healthcare LLC,"We are highly motivated and compassionate people, using advanced systems and technology to become the healthcare provider of choice and to improve the quality of life for the individuals and communities we serve."
Las Vegas Sands Corp.,"we are involved in numerous philanthropic activities through the Sands Foundation®, our charitable nonprofit organization. We're also committed to global sustainability through Sands Eco 360°, our company-wide initiative to make our resorts the most eco-friendly in our industry."
"HD Supply, Inc.","We are one of the largest industrial distributors in North America and believe we have leading positions in the three distinct market sectors in which we specialize: Maintenance, Repair & Operations; Infrastructure & Power; and Specialty Construction. These market sectors are large and fragmented, and we believe they present opportunities for significant growth. We aspire to be the ‘‘First Choice’’ of our customers, associates, suppliers and the communities in which we operate. This aspiration drives our relentless focus and is reflected in the customer and market centricity, speed and precision, intense teamwork, process excellence and trusted relationships that define our culture. We believe this aspiration distinguishes us from other distributors and has created value for our shareholders, driven above-market growth and delivered attractive returns on invested capital. "
Protective Life Corporation,We are Protective. Our mission is in our name.
Wyndham Worldwide Corporation,We are the global leader in travel accommodations welcoming our guests to iconic brands and vacation destinations through our signature Count On Me service.
Global Partners LP,"We are the mission community of the end times; retaining creative mission strategy, while cooperating with others to develop local leadership in order to rapidly evangelize the globe, so that God would be glorified. Our calling is to give glory to God-> The end of missions is to bring every tribe, every tongue, and every nation to worship and glorify God. We live a life for worship and we serve people for His glory in the power of the Spirit. GP is a community that ushers in the end times-> We go to a place where people need to know Jesus Christ in order to lead them to Jesus. GP focuses on developing local leadership by partnership through creative mission strategy->Local leaders can make missions more effective when they have their own leadership. Contextualized mission strategy leads to develop leadership, which fits into their culture. GP aspires a speedy evangelization of the world-> GP mobilizes more workers in Korea, the United States, and the mission field to share the gospel."
NCR Corporation,"We are the new NCR: Leading how the world connects, interacts and transacts with business. Our people offer a broad perspective that enables our customers to reach their goals and transform their business models.Our size, scale and stability instil confidence in the marketplace."
"Magellan Health Services, Inc.","We are the premier partner in making quality health care more affordable, and improving the lives of the people entrusted to our care."
Huntington Bancshares Incorporated,"We at Huntington are committed to doing the right thing for our customers, colleagues, shareholders and communities. We will win by: 1. Providing competitive products and services and delivering a superior customer experience, always striving to earn the trust of our customers 2. Delivering long-term shareholder value through top-tier performance, while maintaining an aggregate moderate-to-low risk appetite and well-capitalized position 3. Equipping our colleagues to be the best at looking out for our customers, continuously improving our workplace and ensuring Huntington's ongoing success 4.Contributing to the economic strength of our local communities by investing in business growth, partnering and volunteering to make a difference where we live and work. "
Danaher Corporation,"We base our strategic plan on the Voice-of-the-Customer. Robust, repeatable processes yield superior Quality, Delivery, and Cost that satisfy our customers beyond their expectations."
"Valassis Communications, Inc.","We believe in developing best practices that promote sustainability, support community stewardship, and in aligning environmental principles that mirror our corporate values. "
Pitney Bowes Inc.,"We believe innovation and growth go hand-in-hand with long-held ideals such as collaboration, integrity and accountability to deliver value for our customers. Everything we do has one goal to help our customers achieve their goals."
"Carter's, Inc.","We believe that childhood is a celebration, and the colorful prints and cute characters we design are inspired by the joy and love children bring into our lives. We celebrate childhood by supporting babies, children, and families with thoughtful designs, quality materials and construction, and convenient shopping options."
"Quad/Graphics, Inc.","We believe that each child is a unique individual. We are aware of our responsibility to meet each child's social, emotional, intellectual, and physical needs. We provide developmentally appropriate programs that help children enjoy successful experience"
Avery Dennison Corporation,"We believe that responsible social, environmental and economic practices are integral to achieving business success. Our sustainability charter guides how we embed sustainability into our strategic planning, product development and operations. "
Bank of America Corporation,"We believe, very simply, that it is the actions of individuals working together that build strong communities and that business has an obligation to support those actions in the communities it serves."
"Tower International, Inc.",We bring structure to the automotive industry.
Bed Bath & Beyond Inc.,We continue to explore additional opportunities to satisfy customer needs in these broad categories of sustainability and energy efficiency.
Regal Beloit Corporation,We convert power into motion to help the world run more efficiently.
Spectra Energy Corp,"We create superior and sustainable value for our investors, customers, employees, and communities by providing natural gas gathering and processing, transmission, storage and distribution services."
Synnex Corporation,"We create value for all our constituents. We are committed to delivering the finest service in the industry. We treasure loyalty, teamwork, integrity and hard work."
"Diebold, Incorporated","We deliver innovative technology and services that make businesses better through a powerful combination of: customer knowledge, inspired thinking and attentive associates,"" reflects the philosophy of the company's founder."
Domtar Corporation,"We deliver the highest value to our customers, empower our employees to excel, and positively impact our communities."
"WESCO International, Inc.","We delivers -> more brands, more products, extra-effort service."
Thermo Fisher Scientific Inc.,"We develop and deliver innovative and environmentally responsible products to our customers. We emphasize environmental stewardship, sound financial management and operational efficiency, while fostering a positive and sustainable workplace for our employees. We serve the communities in which we live and work with hands-on involvement through volunteerism and other charitable causes. And, we provide philanthropic support with the overarching goal of inspiring students to pursue careers in science, technology, engineering and math, so they will one day help us fulfill our mission as future employees or customers."
"Actavis, Inc.",We develop and manufacture pharmaceuticals of the highest quality. We meet current and future customer needs through smart investments in R&D. We deliver best-in-class service and superior value. We celebrate the many cultures of our global team. We enhance the communities in which we live and work. We build shareholder value in all we do.
"Praxair, Inc.","We develop technology, products and services that help to sustain and protect our planet. We are committed to improving our customers’ economic and environmental performance around the globe. "
The Western Union Company,"We do business each day with absolute integrity, honesty and passion, partnering as a team to meet our consumers’ needs."
Safeway Inc.,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders."
Nationwide Mutual Insurance Co.,"We exist solely for the benefit of our members . We help them and their families meet their financial needs in a sustainable, responsible and secure way - as we have done since 1846, in a manner that is open, honest, and fair."
"J.B. Hunt Transport Services, Inc.","We forge long-term partnerships with key customers that include supply chain management as an integral part of their strategy. Working in concert, we drive out cost, add value and function as an extension of their enterprise."
Mutual of America Life Insurance Company,"We gove back to the community, and that's where my passion lies."
Duke Energy Corporation,"we make people’s lives better by providing gas and electric services in a sustainable way affordable, reliable and clean. This requires us to constantly look for ways to improve, to grow and to reduce our impact on the environment."
The Timken Company,We make the world more productive by improving the efficiency and reliability of the machinery that keeps industry in motion.
Flowserve Corporation,"We moves, controls and protects the flow of materials in some of the world's most critical industries to help customers exceed their business goals and ultimately deliver increased value to our shareholders."
"The Gap, Inc.","We never stop moving. It takes thousands of passionate, dedicated and talented employees around the world to deliver the merchandise and shopping experience our customers expect and deserve."
Oshkosh Corporation,"We partners with customers to deliver superior solutions that safely and efficiently move people and materials at work, around the globe and around the clock."
Pacific Life,We provide financial security through products and services that stand the test of time.
"NRG Energy, Inc.",We provide reliable wholesale electricity safely and in a manner consistent with our civic and environmental commitment to the communities we serve.
General Dynamics Corporation,"We provide services and solutions that are relevant, innovative, timely and affordable consistently exceeding customer expectations. We are proud to do meaningful work and help our customers achieve their goals in service to their constituents."
Greif,We provide the packaging that gives ultimate value to our customers.
OfficeMax Incorporated,We provide workplace innovation that enables our customers to work better.
Eli Lilly and Company,"We pursue pharmaceutical innovation, provide high-quality products, and strive to deliver superior business results. We continually search for new ways to improve everything we do."
Sealed Air Corporation,"We re-imagine the industries we serve to create a world that feels, tastes and works better."
"General Mills, Inc.","We reinforce our values everyday through our people, our brands, our innovation and our performance. Championship Brands ... building leading brands that our consumers trust around the world   making lives easier, healthier and more fun. Championship People ... diverse, talented, committed people – constantly learning and growing and contributing to our communities. Championship Innovation ... developing and implementing innovative ideas to build our brands and drive our business. Championship Performance ... delivering outstanding performance for our investors, our customers, our consumers and ourselves."
Ashland Inc.,"We satisfy our customers by delivering results through quality chemical products and services. Our desire to grow drives our passion to win in the marketplace. With a unified, low-cost operating structure, we’ll remain competitive across every business and in every geographic region."
"Amazon.com, Inc.","We seek to be Earth’s most customer-centric company for four primary customer sets: consumers, sellers, enterprises, and content creators."
The ServiceMaster Company,We simplify and improve the quality of our customers’ lives.
Eastman Chemical Company,We strive for quality in everything we do – from producing products to building relationships. And we are committed to operating safely while protecting people and the environment.
Esterline Technologies Corporation,"We strive to be recognized as number one in the industry, providing quality material process and finishing services with the best turnaround at a competitive price that provides a fair return on investment:by creating an environment of trust and respect for the members of our company and clients we service.by being responsible to take action to make the right things happen, to be innovative, and to exercise individual initiative that promotes teamwork,by ensuring the implementation of and adherence to, established policies and procedures, by sharing the responsibility to communicate effectively with others, encouraging a willingness to cooperate; and by taking pride in the work we do and the service we perform. "
Silgan Holdings Inc.,"We survey the horizon, we see many opportunities for each of our businesses."
"Darden Restaurants, Inc.","We take pride in providing a terrific dining experience to every guest, every time, in every one of our restaurants. That is how we will be the best company in casual dining, now and for generations."
"SkyWest, Inc.","We understand and value the priceless commodity of time. We respect every individual's quality of life, and are committed to promoting dignity and trust in all we do."
"Nordstrom, Inc.",We value the richness that diversity brings to our workforce - it makes our Company better and the communities we serve stronger.
MRC Global Inc.,"We will be the Global Supplier of Choice® in the markets we serve by building strong relationships with our customers and suppliers. We create superior value for our stakeholders by working as a team to efficiently buy, sell, and deliver PVF products to the energy and industrial markets."
Quest Diagnostics Incorporated,"We will be the undisputed world leader of diagnostic testing, information and services."
Newmont Mining Corporation,"We will build a sustainable mining business that delivers top quartile shareholder returns while leading in safety, environmental stewardship and social responsibility."
"CF Industries Holdings, Inc.",We will conduct all of our activities to the highest standards of business and personal ethics.
Briggs & Stratton Corporation,"We will create superior value by developing mutually beneficial relationships with our customers, suppliers, employees, and communities."
Comcast Corporation,We will deliver a superior experience to our customers every day. Our products will be the best and we will offer the most customer-friendly and reliable service in the market.
UGI Corporation,"We will deliver competitively priced, high quality energy products and services to customers in our communities in a manner that expands opportunities, meets shareholders' expectations and fosters economic growth."
American National Insurance Company,"We will earn the trust of our customers and of our diverse distribution partners by always acting with integrity and fairness, and by working to exceed expectations. We are committed to teamwork and continuous improvement in all that we do.We will be prudent stewards of our assets, conservative navigators of risk, and steadfast in our resolve to preserve and enhance our reputation for enduring strength and success."
Affinia Group Intermediate Holdings Inc.,"We will inspire our people, delight our customers and impress our investors with the world's most innovative aftermarket products and services that are of consistently high quality and always market competitive."
Huntsman Corporation,"We will operate safe, clean, efficient facilities in an environmentally and socially responsible manner.We will provide a work environment that fosters teamwork, innovation, accountability and open communication.We will place into society assistance for those who suffer, hope for those who may need inspiration and education for those who may feel the challenge but do not have the means.We have an aggressive growth philosophy which reflects the spirit of free enterprise and maximization of long term profits, the best motives for creating mutual benefits for customers, employees, suppliers and the communities in which we are located."
The Procter & Gamble Company,"We will provide branded products and services of superior quality and value that improve the lives of the world's consumers. As a result, consumers will reward us with leadership sales, profit, and value creation, allowing our people, our shareholders, and the communities in which we live and work to prosper."
"Avis Budget Group, Inc.",We will provide the leadership and support necessary to sustain long-term growth and customer satisfaction for our world-class brands. We will passionately promote quality and service at all levels while enhancing each brand’s competitive advantage.
Monsanto Company,We work to deliver products and solutions to: Meet the world's growing food needs.
Valero Energy Corporation,"We work together with the same focus to offer clean fuels, services and products of convenience to all our customers through a single location. Operational excellence, safety and environmental responsibility are the keys to success. In addition to delivering superior returns for our shareholders, our activities also have a beneficial impact on the communities that we serve to improve people’s lives."
Boyd Gaming Corporation,"We, as members of Boyd Gaming Corporation, operate with only the highest degree of integrity, and rely on the competence and friendliness of each person in our organization to provide entertainment and service to satisfy our customers' wants. Through teamwork, we strive to maximize shareholder value, to be among the leading companies in our industry and to provide opportunities for all while we support and enhance our communities."
Navistar International Corporation,"We're always driven to exceed industry standards, especially when it comes to protecting our environment. As one of the first global manufacturers, Navistar has never stopped investing in growth around the world - from expansion in China to engine, trucking and bus operations in South America."
Emerson Electric Co.,"Where technology and engineering come together to create solutions for the benefit of our customers, driven without compromise for a world in action.  "
"PetSmart, Inc.","Whether it's finding the right pet, the best food or the perfect toy, signing up for training or grooming sessions, checking into a PetsHotel, or taking home a newly adopted dog or cat, we have the answers. We're PetSmart."
